"","Hub","ID","Animal.Sex","Animal.Length..m.","Date","Date.Time"
"6567","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:38:00"
"6568","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:40:00"
"6569","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:40:00"
"6570","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:42:00"
"6571","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:42:00"
"6572","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:43:00"
"6573","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:44:00"
"6574","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:48:00"
"6575","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:48:00"
"6576","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:48:00"
"6577","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:49:00"
"6578","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:51:00"
"6579","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:51:00"
"6580","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:51:00"
"6581","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:53:00"
"6582","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:54:00"
"6583","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:56:00"
"6584","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:56:00"
"6585","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:57:00"
"6586","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:59:00"
"6587","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:59:00"
"6588","aquaHub-660298","9001-43284","Male",166,2025-09-20,"2025-09-20 05:00:00"
"6589","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 05:00:00"
"6590","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 05:01:00"
"6591","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 05:02:00"
"6592","aquaHub-660298","9001-43284","Male",166,2025-09-20,"2025-09-20 05:02:00"
"6593","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 05:06:00"
"6594","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 05:07:00"
"6595","aquaHub-660298","9001-43284","Male",166,2025-09-20,"2025-09-20 05:07:00"
"6596","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 05:08:00"
"6597","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 05:10:00"
"6598","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 05:11:00"
"6599","aquaHub-660110","9001-52031","Male",1.6,2025-09-20,"2025-09-20 05:13:00"
"6600","aquaHub-660110","9001-52031","Male",1.6,2025-09-20,"2025-09-20 05:15:00"
"6601","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 05:16:00"
"6602","aquaHub-660298","9001-43284","Male",166,2025-09-20,"2025-09-20 05:16:00"
"6603","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 05:16:00"
"6604","aquaHub-660110","9001-52031","Male",1.6,2025-09-20,"2025-09-20 05:17:00"
"6605","aquaHub-660298","9001-43284","Male",166,2025-09-20,"2025-09-20 05:18:00"
"6606","aquaHub-660110","9001-52031","Male",1.6,2025-09-20,"2025-09-20 05:19:00"
"6607","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 05:20:00"
"6608","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 05:21:00"
"6609","aquaHub-660110","9001-52031","Male",1.6,2025-09-20,"2025-09-20 05:21:00"
